beta_I,beta_FR,phi0,theta_N,alpha,gamma_comm,delta_C,phi_obs,R0
0.87357376,1.3564538,0.46458845,0.04105502,0.04926589,0.010345593,0.013420796,0.86925985,2.3767403
0.75334866,1.5596113,0.47963358,0.048900949,0.03214426,0.0073480389,0.017910027,0.70203871,2.0939135
0.92605317,1.6111572,0.32033528,0.024550934,0.045978813,0.023004192,0.020774946,0.7926047,2.3386484
0.90833361,1.7211153,0.38789485,0.026172643,0.04471115,0.022660312,0.017722673,0.92196687,2.4231917
0.76094318,1.5704459,0.4120235,0.048169459,0.034834072,0.016869835,0.13618441,0.79048763,2.0176762
0.73818575,1.5692857,0.39999921,0.050936591,0.049918063,0.015069179,0.076929285,0.8565244,1.9387375
0.79683634,1.6570224,0.37096766,0.052523553,0.098801545,0.052994923,0.041111403,0.70258136,2.0351686
0.81670076,1.3662784,0.3423402,0.051631943,0.081673393,0.036610146,0.047831678,0.76760898,2.0253893
0.86318111,1.8914668,0.37551075,0.029387118,0.017569633,0.013604528,0.033893869,0.97204858,2.2917028
0.78583997,1.4529434,0.40884985,0.045054932,0.026695955,0.033408003,0.049959873,0.76678366,2.0728104
0.87443275,1.7732375,0.38241393,0.037736426,0.058141213,0.023950445,0.021508986,0.82573363,2.2907172
1.0147789,1.5655432,0.32985711,0.031899518,0.034581495,0.012574793,0.10336615,2.4848133,2.5326798
1.006548,1.6853111,0.36818567,0.031986373,0.024079971,0.014311797,0.070056527,1.4790973,2.5935849
0.95033175,1.7561361,0.37530895,0.028749705,0.019324513,0.035426335,0.024795955,1.8330354,2.4921469
0.79907699,1.659228,0.43062617,0.026522083,0.028921197,0.046224575,0.026369392,1.3341544,2.2257559
0.83813844,1.7361804,0.33127322,0.026802235,0.045659806,0.02177226,0.11257507,0.70659684,2.1529957
0.70441706,2.1198067,0.33860968,0.041977215,0.036319954,0.021501774,0.015688288,0.61519925,1.8344302
0.89023566,1.5142239,0.39661069,0.041694749,0.076105989,0.047633952,0.17404028,0.93954732,2.3179561
0.81416014,1.3114485,0.35330456,0.048693511,0.036106226,0.024751978,0.018301419,0.66194954,2.0395435
0.84679048,1.5740864,0.40482806,0.037472686,0.026071359,0.043918359,0.050461688,0.72761,2.2483588
0.91121001,2.0608907,0.38906303,0.043317012,0.036968927,0.016019411,0.032241174,0.6736487,2.3894468
